,Country,Year,Geographic_Average Temperature at 2 Meters (Celsius (Â°C)),Geographic_Average Wind Speed at 10M Range (m/s),Geographic_Average Relative Humidity at 2 Meters (%) ,Geographic_Average Precipitation (mm/day),"Mosquito_Dengue cases per 100,000 people"
0,Afghanistan,2000.0,12.63,14.32,37.25,0.31,207.8400404
1,Afghanistan,2001.0,13.26,12.22,36.0,0.25,214.1838535
2,Afghanistan,2002.0,12.83,13.67,40.06,0.42,211.8388593
3,Afghanistan,2003.0,12.35,14.57,44.81,0.51,204.0933956
4,Afghanistan,2004.0,12.94,13.45,42.56,0.51,203.2853895
5,Afghanistan,2005.0,11.38,13.91,46.69,0.68,203.7761034
6,Afghanistan,2006.0,12.38,12.77,48.62,0.96,202.8671916
7,Afghanistan,2007.0,12.15,14.69,47.31,0.75,211.0279669
8,Afghanistan,2008.0,12.05,15.36,45.12,0.77,220.6328524
9,Afghanistan,2009.0,10.97,15.12,55.75,1.28,225.2400648
10,Afghanistan,2010.0,12.15,11.66,51.31,1.52,229.5712522
11,Afghanistan,2011.0,11.22,12.94,55.75,1.79,227.2584207
12,Afghanistan,2012.0,9.02,16.3,60.62,1.8,220.112567
13,Afghanistan,2013.0,11.5,13.34,51.38,1.27,212.5773591
14,Afghanistan,2014.0,10.55,12.31,55.19,1.61,203.5748085
15,Afghanistan,2015.0,10.97,17.75,60.62,2.19,198.4877272
16,Afghanistan,2016.0,11.9,12.18,56.56,2.32,197.1982387
17,Afghanistan,2017.0,12.13,14.3,46.31,0.61,195.9104654
18,Afghanistan,2018.0,12.9,14.3,39.44,0.23,195.205492
19,Afghanistan,2019.0,11.44,12.85,56.69,1.68,194.1786038
20,Bangladesh,2000.0,25.15,9.83,75.88,5.1,805.0391547
21,Bangladesh,2001.0,25.37,11.16,74.0,5.24,811.5833823
22,Bangladesh,2002.0,25.52,11.08,74.75,5.1,820.6976625
23,Bangladesh,2003.0,25.42,12.04,75.75,4.49,832.1001756
24,Bangladesh,2004.0,25.48,11.44,75.31,5.62,844.8225361
25,Bangladesh,2005.0,25.65,9.59,76.62,5.2,858.6028281
26,Bangladesh,2006.0,25.74,9.88,74.88,4.65,881.1209363
27,Bangladesh,2007.0,25.13,11.27,76.5,7.0,913.2054341
28,Bangladesh,2008.0,25.44,13.25,76.19,4.38,947.8924577
29,Bangladesh,2009.0,25.83,15.21,75.0,5.22,976.4069858
30,Bangladesh,2010.0,25.86,10.42,76.06,5.01,988.3509484
31,Bangladesh,2011.0,25.49,10.35,74.75,4.65,986.2310491
32,Bangladesh,2012.0,25.44,10.18,73.12,4.12,978.3892312
33,Bangladesh,2013.0,25.48,11.98,74.88,5.01,967.4969206
34,Bangladesh,2014.0,26.0,11.38,72.25,4.62,956.4468783
35,Bangladesh,2015.0,25.87,11.85,73.94,6.17,948.0292086
36,Bangladesh,2016.0,26.19,13.3,76.94,7.96,924.4908595
37,Bangladesh,2017.0,25.24,12.86,81.62,13.47,900.7355577
38,Bangladesh,2018.0,25.06,9.69,78.94,7.67,895.5403276
39,Bangladesh,2019.0,25.67,12.57,77.44,8.22,895.1095936
40,Bhutan,2000.0,17.23,5.81,78.44,3.08,567.1849424
41,Bhutan,2001.0,17.55,6.34,77.12,3.0,567.8448983
42,Bhutan,2002.0,17.37,5.37,79.19,2.89,569.1570701
43,Bhutan,2003.0,17.31,6.0,79.25,3.2,570.3912958
44,Bhutan,2004.0,17.21,6.51,79.44,3.04,570.9690075
45,Bhutan,2005.0,17.54,5.5,79.19,3.14,574.1924104
46,Bhutan,2006.0,17.73,5.36,77.81,2.47,587.222865
47,Bhutan,2007.0,17.4,5.66,78.44,3.0,609.7573442
48,Bhutan,2008.0,17.4,5.62,78.94,2.93,636.0166642
49,Bhutan,2009.0,17.65,5.66,78.38,3.0,659.4621905
50,Bhutan,2010.0,17.7,6.27,78.81,3.42,673.8098262
51,Bhutan,2011.0,17.17,5.86,79.38,2.87,678.283857
52,Bhutan,2012.0,17.43,5.16,79.44,2.88,675.5426164
53,Bhutan,2013.0,17.84,4.87,79.06,3.05,667.7794012
54,Bhutan,2014.0,17.95,6.31,80.56,2.72,658.2282084
55,Bhutan,2015.0,18.0,7.02,83.25,2.84,648.7477196
56,Bhutan,2016.0,18.4,5.71,81.69,3.37,624.8195432
57,Bhutan,2017.0,18.17,6.39,81.62,3.46,598.4867681
58,Bhutan,2018.0,17.6,6.7,81.06,3.32,585.1854471
59,Bhutan,2019.0,17.61,7.63,81.38,3.72,575.0433569
60,Cambodia,2000.0,27.14,7.84,79.44,5.49,1026.833335
61,Cambodia,2001.0,27.44,7.07,78.12,4.49,1061.197429
62,Cambodia,2002.0,28.2,6.85,72.94,3.35,1142.275105
63,Cambodia,2003.0,28.16,7.1,72.12,3.59,1240.162081
64,Cambodia,2004.0,28.42,8.17,69.69,3.63,1324.258202
65,Cambodia,2005.0,28.41,7.41,71.69,3.56,1365.509216
66,Cambodia,2006.0,28.12,6.27,74.19,4.36,1372.538402
67,Cambodia,2007.0,28.33,7.98,71.31,3.07,1373.222486
68,Cambodia,2008.0,28.03,7.89,72.25,3.2,1370.600342
69,Cambodia,2009.0,28.52,9.55,69.75,2.33,1366.860529
70,Cambodia,2010.0,28.94,6.92,70.0,2.75,1361.826971
71,Cambodia,2011.0,27.96,6.61,71.88,3.38,1344.390319
72,Cambodia,2012.0,28.34,7.23,73.5,3.18,1308.594847
73,Cambodia,2013.0,28.33,7.64,71.25,2.83,1262.45374
74,Cambodia,2014.0,28.54,6.83,69.75,2.82,1213.9154
75,Cambodia,2015.0,29.3,7.98,65.62,2.61,1171.269102
76,Cambodia,2016.0,30.5,7.96,59.75,0.99,1107.910635
77,Cambodia,2017.0,29.08,8.55,68.31,2.36,1064.704175
78,Cambodia,2018.0,28.5,7.09,71.44,3.09,1101.559028
79,Cambodia,2019.0,28.8,7.23,69.88,3.22,1201.187506
80,China,2000.0,11.55,14.91,63.62,1.19,193.4935366
81,China,2001.0,11.73,13.95,62.06,1.24,204.4151477
82,China,2002.0,11.88,12.68,60.81,1.05,218.2765457
83,China,2003.0,11.31,16.28,66.69,1.79,233.6759088
84,China,2004.0,11.65,14.09,64.19,1.19,249.14017
85,China,2005.0,11.32,13.48,66.69,1.46,263.1583231
86,China,2006.0,11.92,13.58,63.56,1.2,277.9751025
87,China,2007.0,12.24,14.27,63.44,1.34,295.1334238
88,China,2008.0,11.29,12.52,63.81,1.25,312.0478313
89,China,2009.0,11.51,13.88,63.94,1.07,326.099202
90,China,2010.0,10.45,15.3,63.0,1.23,334.7299674
91,China,2011.0,10.85,13.42,66.81,1.39,337.9298477
92,China,2012.0,10.45,14.48,69.19,1.33,338.5257435
93,China,2013.0,11.03,12.17,65.69,1.71,338.6407825
94,China,2014.0,12.34,11.87,67.94,1.48,340.3249917
95,China,2015.0,11.95,13.11,66.69,1.29,345.6607645
96,China,2016.0,11.73,12.63,64.62,1.24,396.8773109
97,China,2017.0,12.2,11.98,67.31,1.63,445.894998
98,China,2018.0,11.86,15.08,69.31,1.74,445.7475281
99,China,2019.0,12.62,12.89,69.75,1.76,428.7910957
100,India,2000.0,26.31,10.07,34.56,1.35,1971.936029
101,India,2001.0,26.32,10.78,35.69,1.28,1981.368765
102,India,2002.0,26.93,10.45,35.44,1.25,1994.376671
103,India,2003.0,25.21,10.47,46.69,2.44,2009.878033
104,India,2004.0,26.4,10.23,40.75,1.41,2025.973218
105,India,2005.0,25.48,10.02,43.5,1.7,2040.355446
106,India,2006.0,26.42,10.89,41.75,1.48,2053.421769
107,India,2007.0,25.89,11.94,43.25,1.87,2065.891056
108,India,2008.0,25.19,8.69,47.12,2.12,2076.470903
109,India,2009.0,26.37,10.14,40.69,1.54,2083.973881
110,India,2010.0,25.98,10.99,47.62,2.35,2086.821661
111,India,2011.0,25.1,9.09,49.94,1.79,2082.239469
112,India,2012.0,25.3,10.91,40.5,1.52,2071.041017
113,India,2013.0,24.65,10.06,50.5,2.59,2057.071883
114,India,2014.0,25.55,12.01,40.94,1.36,2044.366899
115,India,2015.0,25.43,11.03,43.12,1.79,2036.301228
116,India,2016.0,26.32,9.28,39.0,1.71,2040.499592
117,India,2017.0,25.82,9.93,41.19,1.68,2044.780954
118,India,2018.0,25.51,10.9,44.81,2.05,2037.731884
119,India,2019.0,25.31,10.59,48.69,1.65,2023.839624
120,Indonesia,2000.0,25.26,1.59,91.31,7.55,968.6452084
121,Indonesia,2001.0,25.41,1.5,90.56,6.22,979.3473273
122,Indonesia,2002.0,25.48,1.63,89.56,5.31,1003.881887
123,Indonesia,2003.0,25.51,1.43,89.81,6.36,1032.560372
124,Indonesia,2004.0,25.44,1.59,90.12,8.14,1055.763948
125,Indonesia,2005.0,25.58,1.59,91.19,8.01,1063.894094
126,Indonesia,2006.0,25.41,1.63,89.88,6.16,1058.063613
127,Indonesia,2007.0,25.44,1.6,91.31,10.03,1047.669308
128,Indonesia,2008.0,25.24,1.48,91.12,8.52,1036.065734
129,Indonesia,2009.0,25.48,1.51,89.88,7.42,1026.490869
130,Indonesia,2010.0,25.6,1.52,91.81,12.58,1021.846109
131,Indonesia,2011.0,25.21,1.55,90.81,9.44,1023.39098
132,Indonesia,2012.0,25.3,1.59,90.94,8.47,1028.408143
133,Indonesia,2013.0,25.4,1.49,91.44,9.41,1034.270372
134,Indonesia,2014.0,25.55,1.52,90.31,8.07,1038.058499
135,Indonesia,2015.0,25.51,1.73,90.31,8.46,1036.778763
136,Indonesia,2016.0,25.84,1.4,91.75,10.44,999.0781904
137,Indonesia,2017.0,25.48,1.52,92.0,9.99,962.3193141
138,Indonesia,2018.0,25.51,1.41,91.12,8.24,965.0276024
139,Indonesia,2019.0,25.71,1.59,90.38,7.23,984.9215202
140,Malaysia,2000.0,24.4,4.79,88.62,6.54,1097.561524
141,Malaysia,2001.0,24.46,4.75,88.81,6.04,1121.689384
142,Malaysia,2002.0,24.54,4.66,87.94,6.04,1157.057602
143,Malaysia,2003.0,24.45,4.88,88.81,6.97,1194.644418
144,Malaysia,2004.0,24.55,4.88,88.19,6.33,1225.527834
145,Malaysia,2005.0,24.59,4.97,88.0,6.07,1241.123897
146,Malaysia,2006.0,24.51,5.06,89.19,7.43,1244.049133
147,Malaysia,2007.0,24.53,4.49,88.69,6.3,1243.909482
148,Malaysia,2008.0,24.4,4.06,88.81,7.72,1243.491107
149,Malaysia,2009.0,24.5,4.64,88.69,7.44,1245.018536
150,Malaysia,2010.0,24.76,5.27,87.81,6.24,1250.812042
151,Malaysia,2011.0,24.35,5.21,88.56,7.45,1283.631452
152,Malaysia,2012.0,24.58,3.87,88.06,7.03,1349.775133
153,Malaysia,2013.0,24.61,4.18,88.0,6.88,1428.698529
154,Malaysia,2014.0,24.67,4.34,86.81,6.29,1499.226928
155,Malaysia,2015.0,24.83,4.09,86.62,6.18,1539.488479
156,Malaysia,2016.0,25.06,5.22,86.94,6.43,1468.257379
157,Malaysia,2017.0,24.76,4.81,88.75,8.1,1384.278967
158,Malaysia,2018.0,24.71,4.62,88.06,7.82,1381.750638
159,Malaysia,2019.0,24.97,4.28,86.94,6.11,1395.206515
160,Myanmar,2000.0,28.17,9.44,42.38,0.06,670.8397803
161,Myanmar,2001.0,28.46,9.38,42.19,0.03,693.4547272
162,Myanmar,2002.0,28.31,10.88,43.81,0.21,730.5758516
163,Myanmar,2003.0,28.75,9.41,42.12,0.03,771.4256597
164,Myanmar,2004.0,27.85,10.27,45.44,0.29,805.3325538
165,Myanmar,2005.0,28.87,10.16,43.25,0.03,821.4479984
166,Myanmar,2006.0,28.37,8.59,42.75,0.16,824.0135288
167,Myanmar,2007.0,28.01,10.77,43.75,0.12,824.8930162
168,Myanmar,2008.0,27.1,8.06,51.62,0.9,825.2494178
169,Myanmar,2009.0,27.58,10.01,50.44,0.84,826.0882463
170,Myanmar,2010.0,27.44,11.09,52.12,1.16,828.1788572
171,Myanmar,2011.0,26.59,8.85,55.81,1.09,839.7207219
172,Myanmar,2012.0,27.22,8.59,51.81,0.92,862.7495898
173,Myanmar,2013.0,27.39,9.53,51.88,0.96,889.3247747
174,Myanmar,2014.0,27.89,9.52,49.19,0.74,911.4584431
175,Myanmar,2015.0,27.41,9.27,52.69,1.03,920.897687
176,Myanmar,2016.0,27.59,11.79,54.38,1.03,899.4610034
177,Myanmar,2017.0,27.37,10.05,55.62,1.27,861.2469731
178,Myanmar,2018.0,27.03,11.4,54.88,1.08,811.5165575
179,Myanmar,2019.0,27.69,9.2,52.25,1.14,740.1059219
180,Nepal,2000.0,8.15,7.88,62.44,1.33,686.9696554
181,Nepal,2001.0,8.69,7.3,61.94,1.19,699.8842767
182,Nepal,2002.0,8.56,8.3,61.62,0.9,714.9502897
183,Nepal,2003.0,8.48,11.22,60.75,0.95,731.168802
184,Nepal,2004.0,8.31,8.04,67.69,2.65,747.5324729
185,Nepal,2005.0,7.75,7.61,68.25,2.3,763.1391489
186,Nepal,2006.0,8.4,7.61,69.25,2.31,781.8430306
187,Nepal,2007.0,8.07,7.35,69.88,2.57,805.3545431
188,Nepal,2008.0,8.05,8.39,69.75,2.85,829.5415494
189,Nepal,2009.0,8.58,7.78,65.0,1.9,850.2883344
190,Nepal,2010.0,8.89,7.52,65.31,2.15,863.0071558
191,Nepal,2011.0,8.06,8.77,70.31,2.36,867.8052011
192,Nepal,2012.0,7.77,13.84,66.44,2.55,869.0067754
193,Nepal,2013.0,7.89,7.76,72.12,3.64,867.9951667
194,Nepal,2014.0,7.97,8.48,72.81,3.96,865.5417228
195,Nepal,2015.0,7.59,10.54,77.62,4.96,862.391747
196,Nepal,2016.0,8.72,8.23,72.19,4.6,842.5141701
197,Nepal,2017.0,8.26,9.35,75.5,4.59,820.9396417
198,Nepal,2018.0,8.03,7.48,74.5,3.71,815.9065874
199,Nepal,2019.0,7.55,11.97,77.19,4.79,815.0044915
200,Oman,2000.0,29.07,11.91,39.88,0.05,537.3023311
201,Oman,2001.0,29.24,11.16,36.81,0.02,545.2139363
202,Oman,2002.0,29.12,11.56,38.75,0.07,556.6178786
203,Oman,2003.0,29.2,11.2,40.62,0.1,561.9781683
204,Oman,2004.0,29.07,11.34,40.62,0.02,554.7441734
205,Oman,2005.0,29.17,12.12,40.12,0.04,549.3274496
206,Oman,2006.0,28.95,11.4,41.44,0.16,572.8122759
207,Oman,2007.0,29.16,11.97,39.75,0.14,624.7869867
208,Oman,2008.0,28.55,11.78,36.69,0.12,678.4113507
209,Oman,2009.0,29.09,10.78,38.81,0.09,720.1983435
210,Oman,2010.0,29.06,10.36,40.0,0.26,726.0237377
211,Oman,2011.0,28.96,10.91,41.19,0.32,704.768275
212,Oman,2012.0,28.97,11.27,39.38,0.23,663.4796505
213,Oman,2013.0,28.79,10.49,39.62,0.24,580.5908683
214,Oman,2014.0,29.03,11.04,38.75,0.14,505.0099619
215,Oman,2015.0,29.14,13.47,40.31,0.23,468.1774633
216,Oman,2016.0,28.94,12.05,41.12,0.16,455.3909206
217,Oman,2017.0,29.19,12.16,40.81,0.1,444.3356489
218,Oman,2018.0,29.65,11.64,37.25,0.06,441.9252102
219,Oman,2019.0,29.31,12.52,42.69,0.22,449.5623395
220,Pakistan,2000.0,23.47,10.66,23.5,0.18,603.3207765
221,Pakistan,2001.0,23.27,10.95,27.25,0.46,605.0892147
222,Pakistan,2002.0,23.52,11.38,23.12,0.16,611.7529529
223,Pakistan,2003.0,22.66,13.88,27.38,0.34,621.3385296
224,Pakistan,2004.0,23.51,11.88,26.31,0.44,631.2339208
225,Pakistan,2005.0,22.25,12.45,31.06,0.29,641.7000344
226,Pakistan,2006.0,23.2,9.61,32.44,0.34,656.4689757
227,Pakistan,2007.0,22.94,9.9,31.0,0.4,676.1100955
228,Pakistan,2008.0,22.87,11.12,29.69,0.34,696.213903
229,Pakistan,2009.0,23.04,9.56,29.5,0.21,712.2234278
230,Pakistan,2010.0,23.19,11.84,29.06,0.37,719.752759
231,Pakistan,2011.0,22.91,11.95,32.0,0.28,719.4706522
232,Pakistan,2012.0,21.97,14.1,29.38,0.32,716.5672294
233,Pakistan,2013.0,22.48,12.14,32.62,0.5,712.8668798
234,Pakistan,2014.0,22.48,10.55,29.31,0.18,709.5502618
235,Pakistan,2015.0,22.46,12.09,33.0,0.41,708.7026541
236,Pakistan,2016.0,23.72,11.05,29.31,0.34,697.6599744
237,Pakistan,2017.0,23.01,11.23,30.06,0.34,685.4574419
238,Pakistan,2018.0,23.46,11.28,27.81,0.2,684.6799308
239,Pakistan,2019.0,21.8,10.11,41.5,0.96,686.1082429
240,Saudi Arabia,2000.0,25.29,13.91,23.19,0.08,257.881411
241,Saudi Arabia,2001.0,25.19,12.01,22.38,0.04,258.9129134
242,Saudi Arabia,2002.0,24.98,12.08,23.56,0.08,261.6416038
243,Saudi Arabia,2003.0,25.55,12.51,22.94,0.06,266.1786068
244,Saudi Arabia,2004.0,24.96,11.84,24.56,0.2,272.622303
245,Saudi Arabia,2005.0,25.18,13.66,24.06,0.07,278.2531286
246,Saudi Arabia,2006.0,25.03,14.39,25.31,0.07,288.4028875
247,Saudi Arabia,2007.0,25.19,13.35,23.25,0.05,307.1828836
248,Saudi Arabia,2008.0,24.7,13.13,22.44,0.08,328.381908
249,Saudi Arabia,2009.0,25.42,11.55,23.38,0.06,345.7153189
250,Saudi Arabia,2010.0,25.64,12.3,21.19,0.04,354.1600466
251,Saudi Arabia,2011.0,24.82,11.95,25.44,0.11,348.1070846
252,Saudi Arabia,2012.0,25.33,14.27,24.31,0.06,329.1183501
253,Saudi Arabia,2013.0,24.85,12.97,23.44,0.07,304.1414879
254,Saudi Arabia,2014.0,25.17,12.6,25.56,0.1,281.2731105
255,Saudi Arabia,2015.0,25.87,13.4,24.0,0.03,268.7335736
256,Saudi Arabia,2016.0,25.32,12.64,25.12,0.2,260.0026718
257,Saudi Arabia,2017.0,25.51,12.31,24.12,0.05,253.2787707
258,Saudi Arabia,2018.0,25.79,14.12,26.12,0.05,254.3590275
259,Saudi Arabia,2019.0,25.77,12.84,25.12,0.02,258.3801728
260,Sri Lanka,2000.0,26.8,12.47,75.62,2.87,754.9652558
261,Sri Lanka,2001.0,26.3,12.02,79.69,3.15,768.5186232
262,Sri Lanka,2002.0,26.81,12.36,77.94,3.27,778.934279
263,Sri Lanka,2003.0,26.67,10.9,79.31,2.61,789.5897163
264,Sri Lanka,2004.0,26.89,11.62,76.88,3.45,801.6362796
265,Sri Lanka,2005.0,26.49,12.38,80.5,3.15,817.3280737
266,Sri Lanka,2006.0,26.15,11.17,81.5,4.21,854.9057089
267,Sri Lanka,2007.0,26.13,11.91,80.25,3.54,918.5894551
268,Sri Lanka,2008.0,25.89,13.67,83.0,3.64,990.6822264
269,Sri Lanka,2009.0,26.55,13.43,78.44,3.63,1053.964353
270,Sri Lanka,2010.0,26.11,11.08,82.88,5.24,1091.486604
271,Sri Lanka,2011.0,25.81,10.39,84.38,5.6,1110.69665
272,Sri Lanka,2012.0,26.43,11.09,79.75,4.83,1133.05039
273,Sri Lanka,2013.0,25.93,11.77,83.62,3.94,1159.082712
274,Sri Lanka,2014.0,26.55,11.02,80.19,5.8,1186.829855
275,Sri Lanka,2015.0,26.0,10.8,85.12,5.54,1216.315538
276,Sri Lanka,2016.0,26.78,13.6,79.38,3.04,1265.032209
277,Sri Lanka,2017.0,26.75,10.84,78.38,3.45,1306.900101
278,Sri Lanka,2018.0,26.28,12.49,81.31,3.98,1318.794672
279,Sri Lanka,2019.0,27.24,11.27,77.0,4.41,1317.613243
280,,,,,,,
281,,,,,,,
282,,,,,,,
283,,,,,,,
284,,,,,,,
285,,,,,,,
286,,,,,,,
287,,,,,,,
288,,,,,,,
289,,,,,,,
290,,,,,,,
291,,,,,,,
292,,,,,,,
293,,,,,,,
294,,,,,,,
295,,,,,,,
296,,,,,,,
297,,,,,,,
298,,,,,,,
299,,,,,,,
300,Vietnam,2000.0,23.44,6.1,79.69,2.36,1224.760872
301,Vietnam,2001.0,24.12,6.0,76.19,1.9,1238.117934
302,Vietnam,2002.0,24.8,4.91,71.38,1.23,1263.77039
303,Vietnam,2003.0,24.63,5.19,71.19,1.31,1292.597303
304,Vietnam,2004.0,24.69,5.53,68.88,0.78,1315.233382
305,Vietnam,2005.0,25.01,5.29,69.12,1.34,1322.393773
306,Vietnam,2006.0,24.87,6.34,70.44,0.84,1301.353872
307,Vietnam,2007.0,24.74,5.33,70.75,1.54,1254.682154
308,Vietnam,2008.0,24.19,5.18,72.56,1.43,1196.964991
309,Vietnam,2009.0,24.31,8.14,73.56,1.64,1142.843928
310,Vietnam,2010.0,25.05,5.52,71.31,1.72,1106.851841
311,Vietnam,2011.0,23.92,5.2,73.75,1.44,1083.141998
312,Vietnam,2012.0,25.08,5.33,70.81,0.88,1057.944401
313,Vietnam,2013.0,24.57,5.31,71.69,1.75,1034.640373
314,Vietnam,2014.0,24.96,5.15,68.94,0.89,1016.689183
315,Vietnam,2015.0,25.32,4.98,67.75,0.96,1007.31988
316,Vietnam,2016.0,24.27,5.14,79.25,5.78,1056.491057
317,Vietnam,2017.0,22.97,6.91,86.5,5.91,1105.611933
318,Vietnam,2018.0,22.83,4.97,85.31,6.23,1103.437829
319,Vietnam,2019.0,23.15,5.73,84.94,5.55,1084.781131
320,Philippines,2000.0,27.68,16.51,82.69,6.73,765.8055422
321,Philippines,2001.0,27.78,20.02,81.62,6.45,794.9571125
322,Philippines,2002.0,27.65,13.07,80.56,4.9,840.7708644
323,Philippines,2003.0,27.6,14.85,80.19,5.43,896.2525276
324,Philippines,2004.0,27.44,13.11,82.12,5.33,954.2659006
325,Philippines,2005.0,27.66,14.52,81.31,5.79,1007.773572
326,Philippines,2006.0,27.76,21.76,81.69,6.7,1074.982601
327,Philippines,2007.0,27.74,15.2,81.56,6.32,1165.062426
328,Philippines,2008.0,27.51,13.71,82.88,7.52,1257.111051
329,Philippines,2009.0,27.58,14.73,82.25,6.75,1331.81753
330,Philippines,2010.0,28.01,12.99,80.06,6.13,1370.272785
331,Philippines,2011.0,27.51,13.32,82.75,7.86,1380.224952
332,Philippines,2012.0,27.93,18.7,81.12,6.95,1384.071192
333,Philippines,2013.0,27.97,22.53,81.06,7.14,1385.314291
334,Philippines,2014.0,27.8,16.78,80.38,5.75,1387.82819
335,Philippines,2015.0,27.99,20.34,79.12,4.41,1393.489904
336,Philippines,2016.0,28.23,15.36,80.56,5.73,1429.301466
337,Philippines,2017.0,28.15,17.87,80.81,7.59,1476.885528
338,Philippines,2018.0,28.08,16.81,80.94,5.77,1546.20011
339,Philippines,2019.0,28.22,23.85,78.75,5.02,1660.353793
340,Syria,2000.0,15.85,16.05,54.25,0.36,225.2272567
341,Syria,2001.0,16.62,14.66,54.69,0.29,225.9526377
342,Syria,2002.0,15.94,13.96,55.19,0.35,227.5734726
343,Syria,2003.0,15.94,14.8,57.81,0.35,230.41035
344,Syria,2004.0,15.89,15.26,55.56,0.54,234.6162715
345,Syria,2005.0,15.86,14.62,54.0,0.24,242.8602255
346,Syria,2006.0,15.88,13.57,55.44,0.4,250.0418382
347,Syria,2007.0,16.23,12.29,54.75,0.36,250.761822
348,Syria,2008.0,16.41,17.67,50.62,0.18,257.0974376
349,Syria,2009.0,16.25,14.2,56.75,0.36,266.1274211
350,Syria,2010.0,18.07,16.27,50.88,0.21,263.1401785
351,Syria,2011.0,15.42,16.57,57.69,0.32,241.4515739
352,Syria,2012.0,16.38,13.95,57.25,0.38,210.3668908
353,Syria,2013.0,16.0,13.66,56.88,0.31,188.8298335
354,Syria,2014.0,16.58,11.7,56.0,0.21,176.9879902
355,Syria,2015.0,16.39,15.62,56.44,0.42,169.708362
356,Syria,2016.0,16.45,14.66,55.0,0.61,161.9401493
357,Syria,2017.0,16.49,12.52,54.06,0.33,156.303159
358,Syria,2018.0,17.11,15.14,60.5,0.93,154.3701843
359,Syria,2019.0,16.12,13.28,61.12,0.95,151.1195899
