Country,Year,Geographic_Average Temperature at 2 Meters (Celsius (Â°C)),Geographic_Average Wind Speed at 10M Range (m/s),Geographic_Average Relative Humidity at 2 Meters (%) ,Geographic_Average Precipitation (mm/day),"Mosquito_Dengue cases per 100,000 people"
Austria,2017,8.62,7.46,85.56,3.8,85
Austria,2018,9.9,6.92,86.06,3.32,85
Austria,2019,9.55,6.26,85.0,3.29,142
Austria,2020,9.34,8.3,84.44,3.91,38
Austria,2021,8.36,5.91,85.38,3.11,5
Belgium,2017,10.19,16.36,83.69,1.83,77
Belgium,2018,10.86,15.88,80.62,1.69,101
Belgium,2019,10.69,17.38,79.75,1.87,202
Belgium,2020,11.19,19.97,79.94,1.94,80
Belgium,2021,9.7,17.24,85.12,2.44,27
Croatia,2017,11.23,12.09,79.12,3.93,0
Croatia,2018,11.87,10.52,81.5,3.37,2
Croatia,2019,11.9,9.79,80.25,3.97,4
Croatia,2020,11.67,10.14,79.25,3.26,4
Croatia,2021,11.09,9.14,79.44,3.24,0
Czechia,2017,8.75,18.66,79.38,1.93,0
Czechia,2018,10.27,14.02,75.5,1.44,0
Czechia,2019,9.98,15.5,77.5,1.76,0
Czechia,2020,9.37,16.12,80.88,2.49,0
Czechia,2021,8.17,16.47,82.75,2.14,0
Estonia,2017,5.95,12.27,85.56,1.83,8
Estonia,2018,6.74,15.45,84.75,1.51,6
Estonia,2019,7.07,17.31,83.94,1.85,6
Estonia,2020,7.9,16.36,85.0,2.02,3
Estonia,2021,5.9,14.2,86.0,1.66,1
Finland,2017,4.4,9.42,89.81,2.45,25
Finland,2018,5.01,7.52,89.19,1.92,56
Finland,2019,4.95,8.47,88.88,2.38,81
Finland,2020,6.4,8.65,87.88,2.51,21
Finland,2021,4.12,8.31,89.56,2.58,7
France,2017,9.88,17.51,81.0,2.17,266
France,2018,10.69,13.58,80.38,2.13,331
France,2019,10.7,14.02,75.38,2.03,904
France,2020,10.88,15.16,79.69,2.08,1362
France,2021,9.45,12.66,82.75,2.22,231
Germany,2017,8.52,14.24,84.31,2.37,635
Germany,2018,9.85,17.84,78.62,1.54,614
Germany,2019,9.58,16.08,80.06,1.91,1178
Germany,2020,9.62,16.39,79.38,1.65,202
Germany,2021,8.05,15.34,85.12,1.99,60
Greece,2017,12.48,11.56,69.94,1.9,1
Greece,2018,12.76,12.32,74.69,2.31,2
Greece,2019,12.76,14.16,72.81,2.34,10
Greece,2020,12.5,12.51,73.5,2.46,1
Greece,2021,12.66,12.07,73.38,3.7,1
Hungary,2017,11.68,14.36,70.81,1.74,17
Hungary,2018,12.53,12.98,73.88,1.65,14
Hungary,2019,12.94,12.1,70.5,1.85,44
Hungary,2020,12.11,16.07,71.94,1.68,15
Hungary,2021,11.6,13.4,70.44,1.34,3
Iceland,2017,4.45,26.69,94.94,2.6,1
Iceland,2018,4.45,24.48,95.12,2.72,1
Iceland,2019,4.63,25.62,94.62,2.54,4
Iceland,2020,4.07,25.89,94.56,2.75,0
Iceland,2021,4.48,20.84,95.12,2.65,0
Ireland,2017,9.63,18.68,89.62,3.21,10
Ireland,2018,9.6,19.38,88.88,3.13,17
Ireland,2019,9.6,17.4,89.62,3.49,18
Ireland,2020,9.62,19.17,89.06,4.14,3
Ireland,2021,10.08,19.81,89.12,3.12,2
Italy,2017,16.28,15.69,65.0,1.3,95
Italy,2018,16.48,18.27,71.19,2.26,108
Italy,2019,16.38,13.33,69.88,2.3,232
Italy,2020,16.43,14.86,69.0,2.08,45
Italy,2021,16.08,12.99,69.69,2.07,11
Latvia,2017,6.37,12.88,87.12,2.22,13
Latvia,2018,7.05,14.95,86.38,1.4,12
Latvia,2019,7.69,15.29,84.31,1.88,11
Latvia,2020,8.35,17.48,84.75,1.97,5
Latvia,2021,6.36,15.07,86.69,1.96,0
Lithuania,2017,6.71,9.42,88.19,2.61,4
Lithuania,2018,7.3,9.27,87.75,1.84,8
Lithuania,2019,7.94,9.75,85.69,1.69,9
Lithuania,2020,8.43,13.44,85.06,2.22,5
Lithuania,2021,6.36,9.08,87.5,2.22,1
Luxembourg,2017,8.88,18.98,83.25,2.1,0
Luxembourg,2018,9.88,15.88,79.94,1.87,1
Luxembourg,2019,9.44,17.1,80.5,1.99,1
Luxembourg,2020,9.94,18.88,80.25,1.93,1
Luxembourg,2021,8.24,17.54,86.62,2.23,0
Malta,2017,19.89,17.16,74.31,1.11,3
Malta,2018,20.12,16.69,77.19,1.77,1
Malta,2019,19.98,20.51,76.0,1.36,2
Malta,2020,20.22,17.91,75.88,1.07,1
Malta,2021,20.35,19.55,76.06,1.34,0
Netherlands,2017,10.51,17.99,83.44,2.38,0
Netherlands,2018,10.93,20.34,81.75,1.8,0
Netherlands,2019,10.96,15.13,80.81,2.18,0
Netherlands,2020,11.27,19.4,81.81,2.24,3
Netherlands,2021,10.14,17.9,85.25,2.2,0
Norway,2017,6.2,9.8,89.5,2.79,35
Norway,2018,6.35,10.18,88.56,2.39,49
Norway,2019,6.28,11.11,89.88,3.04,102
Norway,2020,7.87,12.8,89.06,3.03,27
Norway,2021,5.9,13.59,89.5,2.44,9
Poland,2017,8.58,15.4,82.31,2.03,29
Poland,2018,9.95,13.46,77.38,1.41,30
Poland,2019,10.42,16.77,75.75,1.3,55
Poland,2020,9.86,14.61,77.81,1.92,9
Poland,2021,8.27,14.91,81.56,1.76,2
Portugal,2017,16.45,14.22,65.19,1.16,11
Portugal,2018,15.62,13.52,71.81,2.48,14
Portugal,2019,15.94,14.67,69.38,1.85,30
Portugal,2020,16.14,11.77,73.81,2.58,6
Portugal,2021,15.62,11.94,73.19,1.8,8
Romania,2017,9.27,12.04,75.94,1.87,7
Romania,2018,9.93,9.89,77.06,2.01,4
Romania,2019,10.4,11.48,74.0,1.78,15
Romania,2020,9.57,14.48,77.0,2.26,3
Romania,2021,9.05,10.38,77.31,1.87,0
Slovakia,2017,8.95,7.83,76.06,2.02,2
Slovakia,2018,9.86,7.95,77.06,1.86,7
Slovakia,2019,10.01,7.1,76.12,2.32,6
Slovakia,2020,9.31,8.86,78.5,2.39,1
Slovakia,2021,8.43,5.84,78.69,1.88,0
Slovenia,2017,10.09,7.44,78.69,3.09,5
Slovenia,2018,10.33,6.61,82.62,2.74,8
Slovenia,2019,10.76,7.27,79.75,3.05,21
Slovenia,2020,10.32,8.69,79.25,2.75,1
Slovenia,2021,9.55,6.73,80.62,2.8,0
Spain,2017,14.44,15.08,58.25,0.85,128
Spain,2018,13.42,12.91,66.56,1.69,205
Spain,2019,14.18,15.57,59.38,1.09,431
Spain,2020,13.99,15.07,67.0,1.56,155
Spain,2021,13.4,12.91,66.69,1.4,48
Sweden,2017,6.69,11.09,84.06,1.74,106
Sweden,2018,7.52,10.65,82.25,1.28,106
Sweden,2019,7.23,15.81,84.19,2.09,235
Sweden,2020,8.48,10.48,82.31,1.58,58
Sweden,2021,7.09,10.34,84.12,1.56,12
United Kingdom,2017,7.44,17.23,91.69,3.42,465
United Kingdom,2018,7.41,19.58,90.75,3.05,432
United Kingdom,2019,7.54,17.61,91.0,3.26,827
United Kingdom,2020,7.69,17.17,90.56,3.44,937
United Kingdom,2021,7.6,20.24,90.5,3.18,1118
